,../log-simple-client1-h2,../log-simple-client1-h3,../log-single-client1-h2,../log-single-client1-h3,../log-simple-reverse1-h2,../log-simple-reverse1-h3,../log-single-reverse1-h2,../log-single-reverse1-h3
253,36.0,41.0,1536,1440.0,34.0,39.0,1530.0,1440.0
254,39.0,42.0,1511,1434.0,34.0,41.0,1467.0,1436.0
255,39.0,37.0,1506,1438.0,39.0,41.0,1510.0,1436.0
256,40.0,42.0,1570,1437.0,38.0,41.0,1505.0,1433.0
257,39.0,41.0,1595,1435.0,35.0,38.0,1478.0,1429.0
258,38.0,39.0,1592,1439.0,40.0,42.0,1444.0,1437.0
259,34.0,39.0,1550,1433.0,35.0,37.0,1542.0,1436.0
260,39.0,44.0,1566,1437.0,39.0,42.0,1503.0,1437.0
261,38.0,40.0,1604,1432.0,38.0,39.0,1448.0,1439.0
262,38.0,39.0,1493,1435.0,42.0,41.0,1533.0,1439.0
263,36.0,41.0,1572,1438.0,38.0,42.0,1535.0,1438.0
264,39.0,40.0,1484,1440.0,38.0,35.0,1532.0,1430.0
265,39.0,41.0,1546,1429.0,39.0,41.0,1469.0,1428.0
266,41.0,39.0,1488,1433.0,40.0,41.0,1466.0,1435.0
267,40.0,41.0,1494,1432.0,40.0,42.0,1476.0,1437.0
268,40.0,43.0,1595,1438.0,38.0,40.0,1524.0,1435.0
269,36.0,41.0,1605,1442.0,39.0,41.0,1452.0,1437.0
270,34.0,37.0,1525,1438.0,39.0,40.0,1475.0,1441.0
271,41.0,38.0,1531,1436.0,39.0,41.0,1478.0,1439.0
272,39.0,41.0,1532,1436.0,40.0,40.0,1550.0,1440.0
273,37.0,41.0,1490,1440.0,40.0,38.0,1524.0,1433.0
274,40.0,39.0,1538,1429.0,39.0,39.0,1489.0,1431.0
275,37.0,39.0,1567,1438.0,38.0,41.0,1475.0,1432.0
276,40.0,41.0,1527,1437.0,34.0,42.0,1509.0,1438.0
277,36.0,40.0,1520,1438.0,34.0,42.0,1510.0,1436.0
278,40.0,40.0,1561,1435.0,34.0,37.0,1508.0,1437.0
279,37.0,40.0,1473,1435.0,40.0,36.0,1473.0,1436.0
280,39.0,41.0,1500,1439.0,33.0,39.0,1438.0,1433.0
281,40.0,38.0,1483,1438.0,36.0,39.0,1564.0,1435.0
282,38.0,40.0,1563,1439.0,39.0,43.0,1489.0,1439.0
283,38.0,41.0,1625,1436.0,37.0,40.0,1556.0,1437.0
284,40.0,41.0,1560,1432.0,34.0,36.0,1438.0,1439.0
285,37.0,41.0,1456,1430.0,39.0,42.0,1513.0,1439.0
286,40.0,41.0,1454,1437.0,38.0,37.0,1477.0,1437.0
287,34.0,36.0,1501,1438.0,39.0,41.0,1542.0,1438.0
288,36.0,40.0,1519,1437.0,39.0,42.0,1495.0,1437.0
289,40.0,41.0,1551,1437.0,41.0,43.0,1492.0,1436.0
290,40.0,41.0,1625,1439.0,40.0,40.0,1455.0,1436.0
291,40.0,42.0,1457,1433.0,40.0,40.0,1556.0,1439.0
292,39.0,40.0,1461,1439.0,39.0,41.0,1461.0,1436.0
293,38.0,41.0,1601,1439.0,41.0,41.0,1509.0,1435.0
294,40.0,42.0,1582,1438.0,40.0,42.0,1475.0,1434.0
295,38.0,37.0,1475,1437.0,37.0,41.0,1504.0,1438.0
296,40.0,40.0,1499,1435.0,40.0,35.0,1514.0,1437.0
297,39.0,41.0,1481,1435.0,40.0,41.0,1446.0,1437.0
298,40.0,41.0,1554,1433.0,34.0,38.0,1478.0,1434.0
299,36.0,42.0,1562,1438.0,40.0,40.0,1503.0,1431.0
300,40.0,42.0,1574,1437.0,39.0,39.0,1528.0,1434.0
301,39.0,35.0,1592,1439.0,39.0,39.0,1477.0,1437.0
302,35.0,40.0,1552,1434.0,40.0,38.0,1507.0,1434.0
303,39.0,40.0,1494,1436.0,40.0,39.0,1477.0,1435.0
304,40.0,39.0,1531,1430.0,39.0,40.0,1481.0,1436.0
305,39.0,41.0,1613,1437.0,38.0,38.0,1531.0,1442.0
306,40.0,40.0,1532,1438.0,38.0,41.0,1557.0,1433.0
307,40.0,41.0,1598,1436.0,38.0,38.0,1429.0,1435.0
308,33.0,36.0,1591,1434.0,41.0,38.0,1474.0,1436.0
309,41.0,42.0,1534,1435.0,38.0,43.0,1477.0,1439.0
310,40.0,40.0,1608,1435.0,40.0,41.0,1514.0,1431.0
311,38.0,41.0,1560,1438.0,39.0,39.0,1472.0,1439.0
312,38.0,43.0,1654,1429.0,39.0,41.0,1445.0,1432.0
313,34.0,42.0,1532,1441.0,41.0,40.0,1533.0,1436.0
314,38.0,42.0,1529,1435.0,40.0,40.0,1449.0,1437.0
315,39.0,42.0,1557,1439.0,40.0,40.0,1552.0,1438.0
316,34.0,39.0,1442,1436.0,39.0,42.0,1546.0,1436.0
317,39.0,41.0,1486,1438.0,35.0,40.0,1498.0,1435.0
318,40.0,40.0,1545,1438.0,37.0,38.0,1481.0,1437.0
319,40.0,42.0,1531,1436.0,40.0,39.0,1477.0,1435.0
320,35.0,41.0,1459,1437.0,39.0,41.0,1557.0,1439.0
321,39.0,39.0,1573,1438.0,33.0,39.0,1433.0,1440.0
322,37.0,36.0,1488,1436.0,39.0,42.0,1477.0,1431.0
323,41.0,40.0,1514,1437.0,39.0,40.0,1479.0,1437.0
324,37.0,41.0,1557,1434.0,37.0,42.0,1563.0,1440.0
325,35.0,40.0,1455,1437.0,38.0,39.0,1550.0,1434.0
326,40.0,41.0,1520,1437.0,39.0,39.0,1457.0,1438.0
327,38.0,42.0,1437,1439.0,39.0,42.0,1509.0,1431.0
328,39.0,41.0,1457,1437.0,37.0,38.0,1528.0,1437.0
329,38.0,40.0,1615,1439.0,40.0,39.0,1530.0,1437.0
330,39.0,41.0,1545,1437.0,38.0,39.0,1498.0,1435.0
331,40.0,37.0,1510,1434.0,38.0,41.0,1477.0,1440.0
332,39.0,41.0,1500,1436.0,33.0,40.0,1529.0,1434.0
333,37.0,37.0,1568,1433.0,33.0,40.0,1475.0,1438.0
334,40.0,38.0,1602,1433.0,35.0,42.0,1507.0,1431.0
335,40.0,41.0,1588,1436.0,40.0,41.0,1545.0,1435.0
336,40.0,40.0,1548,1439.0,38.0,42.0,1542.0,1437.0
337,40.0,37.0,1444,1439.0,38.0,38.0,1511.0,1435.0
338,39.0,35.0,1549,1437.0,38.0,41.0,1474.0,1437.0
339,40.0,39.0,1502,1438.0,37.0,43.0,1513.0,1438.0
340,40.0,40.0,1535,1441.0,40.0,40.0,1532.0,1437.0
341,39.0,40.0,1483,1435.0,36.0,40.0,1445.0,1437.0
342,38.0,42.0,1475,1437.0,38.0,40.0,1471.0,1439.0
343,34.0,40.0,1551,1438.0,37.0,39.0,1529.0,1436.0
344,41.0,41.0,1533,1438.0,40.0,40.0,1478.0,1439.0
345,38.0,41.0,1622,1433.0,40.0,39.0,1505.0,1433.0
346,39.0,42.0,1598,1438.0,38.0,38.0,1522.0,1430.0
347,38.0,40.0,1612,1438.0,40.0,42.0,1481.0,1431.0
348,39.0,40.0,1486,1441.0,40.0,42.0,1543.0,1428.0
349,39.0,41.0,1549,1436.0,39.0,36.0,1522.0,1436.0
350,41.0,41.0,1519,1438.0,38.0,40.0,1477.0,1438.0
351,41.0,37.0,1571,1440.0,37.0,34.0,1535.0,1433.0
352,40.0,41.0,1500,1437.0,36.0,39.0,1534.0,1437.0
353,41.0,41.0,1498,1438.0,39.0,42.0,1531.0,1438.0
354,33.0,41.0,1567,1440.0,40.0,42.0,1531.0,1436.0
355,40.0,39.0,1555,1436.0,33.0,40.0,1519.0,1436.0
356,41.0,41.0,1563,1431.0,37.0,41.0,1478.0,1437.0
357,37.0,39.0,1445,1430.0,41.0,41.0,1519.0,1435.0
358,34.0,38.0,1473,1437.0,38.0,39.0,1529.0,1439.0
359,40.0,41.0,1627,1432.0,40.0,41.0,1506.0,1438.0
360,38.0,40.0,1493,1435.0,35.0,40.0,1521.0,1432.0
361,39.0,41.0,1555,1435.0,39.0,41.0,1541.0,1437.0
362,38.0,39.0,1575,1434.0,34.0,40.0,1482.0,1436.0
363,39.0,42.0,1535,1438.0,38.0,41.0,1530.0,1428.0
364,39.0,41.0,1452,1431.0,39.0,40.0,1512.0,1438.0
365,41.0,42.0,1625,1437.0,36.0,41.0,1510.0,1439.0
366,38.0,39.0,1566,1435.0,39.0,40.0,1443.0,1436.0
367,39.0,38.0,1469,1437.0,38.0,41.0,1510.0,1436.0
368,40.0,41.0,1613,1438.0,36.0,43.0,1439.0,1439.0
369,40.0,38.0,1473,1438.0,38.0,42.0,1484.0,1436.0
370,33.0,40.0,1533,1435.0,40.0,37.0,1547.0,1435.0
371,37.0,40.0,1591,1436.0,39.0,41.0,1474.0,1441.0
372,41.0,40.0,1534,1439.0,40.0,40.0,1528.0,1439.0
373,38.0,40.0,1560,1436.0,38.0,37.0,1515.0,1438.0
374,38.0,38.0,1509,1438.0,40.0,40.0,1440.0,1436.0
375,40.0,42.0,1571,1434.0,41.0,41.0,1486.0,1435.0
376,38.0,42.0,1468,1437.0,40.0,41.0,1544.0,1442.0
