Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675842818,0,401308,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842818,0,401310,9.00,4.00,0.00,0.00,13.00,7,nginx
1675842818,0,401311,2.00,2.00,0.00,0.00,4.00,4,nginx
1675842819,0,401305,2.00,1.00,0.00,0.00,3.00,6,nginx
1675842819,0,401308,3.00,2.00,0.00,0.00,5.00,5,nginx
1675842819,0,401310,2.00,1.00,0.00,0.00,3.00,7,nginx
1675842819,0,401311,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842820,0,401305,8.00,4.00,0.00,0.00,12.00,3,nginx
1675842820,0,401308,7.00,4.00,0.00,0.00,11.00,5,nginx
1675842820,0,401309,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842821,0,401305,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842821,0,401309,8.00,3.00,0.00,0.00,11.00,6,nginx
1675842822,0,401304,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842822,0,401305,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842822,0,401306,9.00,2.00,0.00,0.00,11.00,6,nginx
1675842822,0,401309,2.00,2.00,0.00,0.00,4.00,3,nginx
1675842823,0,401304,6.00,5.00,0.00,0.00,11.00,1,nginx
1675842823,0,401306,3.00,2.00,0.00,0.00,5.00,7,nginx
1675842823,0,401309,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842824,0,401304,2.00,2.00,0.00,0.00,4.00,1,nginx
1675842824,0,401307,5.00,3.00,0.00,0.00,8.00,0,nginx
1675842825,0,401307,7.00,2.00,0.00,0.00,9.00,1,nginx
1675842825,0,401310,4.00,1.00,0.00,0.00,5.00,3,nginx
1675842825,0,401311,8.00,3.00,0.00,0.00,11.00,4,nginx
1675842826,0,401308,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842826,0,401310,5.00,3.00,0.00,0.00,8.00,3,nginx
1675842826,0,401311,3.00,2.00,0.00,0.00,5.00,4,nginx
1675842827,0,401308,5.00,2.00,0.00,0.00,7.00,5,nginx
1675842827,0,401310,3.00,1.00,0.00,0.00,4.00,3,nginx
1675842828,0,401305,7.00,3.00,0.00,0.00,10.00,6,nginx
1675842828,0,401308,5.00,3.00,0.00,0.00,8.00,5,nginx
